Taxonomic Identification,Phylum or Class,Date,Station Number,Depth (m),Actual Count,Density (cells/mL),Biovolume (cubic micrometers/mL),Cell Volume (cubic micrometers/cell)
Pyramimonas spp.,CHLOROPHYTA,1/14/2014,6,2,1,0.2,120.4,601.9
Unknown Chlorophyte,CHLOROPHYTA,1/14/2014,6,2,270,7219,102055.9,14.1
Chroomonas sp.,CRYPTOPHYTA,1/14/2014,6,2,1,26.7,43006.3,1608.3
Hemiselmis sp.,CRYPTOPHYTA,1/14/2014,6,2,37,989.3,168343.2,170.2
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/14/2014,6,2,27,721.9,61233.5,84.8
Eutreptiella gymnastica,EUGLENOPHYTA,1/14/2014,6,2,2,53.5,28726.8,537.3
Eutreptiella spp.,EUGLENOPHYTA,1/14/2014,6,2,3,80.2,10205.6,127.2
Unknown Euglenophyte,EUGLENOPHYTA,1/14/2014,6,2,1,26.7,47773.1,1786.6
Achnanthidium minutissimum,BACILLARIOPHYTA,1/14/2014,657,2,1,17.8,924,51.8
Actinoptychus senarius,BACILLARIOPHYTA,1/14/2014,657,2,1,3.6,37972.3,10460.7
Amphora ovalis,BACILLARIOPHYTA,1/14/2014,657,2,1,3.6,3196.6,880.6
Aulacoseira sp.,BACILLARIOPHYTA,1/14/2014,657,2,9,160.4,62997.4,392.7
Bacillaria paxillifera,BACILLARIOPHYTA,1/14/2014,657,2,5,89.1,168442.9,1890.1
Cocconeis placentula,BACILLARIOPHYTA,1/14/2014,657,2,4,71.3,78396.8,1099.5
Cyclotella choctawhatcheeana,BACILLARIOPHYTA,1/14/2014,657,2,16,285.2,43006.3,150.8
Cyclotella meneghiniana,BACILLARIOPHYTA,1/14/2014,657,2,1,3.6,2795.4,770.1
Cyclotella sp.,BACILLARIOPHYTA,1/14/2014,657,2,5,89.1,89596.4,1005.3
Cyclotella striata,BACILLARIOPHYTA,1/14/2014,657,2,1,3.6,8238,2269.4
Encyonema sp.,BACILLARIOPHYTA,1/14/2014,657,2,2,35.7,3994.2,112
Entomoneis paludosa,BACILLARIOPHYTA,1/14/2014,657,2,7,124.8,439022.2,3518.7
Epithemia sp.,BACILLARIOPHYTA,1/14/2014,657,2,2,7.3,5230.6,720.5
Frustulia sp.,BACILLARIOPHYTA,1/14/2014,657,2,1,17.8,86264.5,4840.9
Gomphonema sp.,BACILLARIOPHYTA,1/14/2014,657,2,1,17.8,745.7,41.8
Gyrosigma fasciola,BACILLARIOPHYTA,1/14/2014,657,2,1,3.6,11386,3136.6
Halamphora sp.,BACILLARIOPHYTA,1/14/2014,657,2,1,17.8,2584.9,145.1
Navicula cryptotenella,BACILLARIOPHYTA,1/14/2014,657,2,1,3.6,813,224
Nitzschia brevissima,BACILLARIOPHYTA,1/14/2014,657,2,1,3.6,2070.2,570.3
Nitzschia dissipata,BACILLARIOPHYTA,1/14/2014,657,2,1,3.6,1116.8,307.7
Nitzschia linearis,BACILLARIOPHYTA,1/14/2014,657,2,2,7.3,11331.5,1560.8
Nitzschia spp.,BACILLARIOPHYTA,1/14/2014,657,2,1,17.8,588.2,33
Nitzschia spp.,BACILLARIOPHYTA,1/14/2014,657,2,1,3.6,7060.4,1945
Pantocsekiella ocellata,BACILLARIOPHYTA,1/14/2014,657,2,3,53.5,20999.2,392.7
Rhopalodia sp.,BACILLARIOPHYTA,1/14/2014,657,2,1,3.6,588.5,162.1
Staurosira venter,BACILLARIOPHYTA,1/14/2014,657,2,13,231.7,16379.3,70.7
Thalassionema sp.,BACILLARIOPHYTA,1/14/2014,657,2,2,35.7,6844.7,192
Thalassiosira spp.,BACILLARIOPHYTA,1/14/2014,657,2,14,249.6,165613.3,663.6
Ulnaria ulna,BACILLARIOPHYTA,1/14/2014,657,2,14,249.6,870204.7,3487.1
Unknown Chlorophyte,CHLOROPHYTA,1/14/2014,657,2,224,3992.7,56445.7,14.1
Ochromonas sp.,CHRYSOPHYCEAE,1/14/2014,657,2,1,17.8,6066.4,340.4
Cryptomonas ovata,CRYPTOPHYTA,1/14/2014,657,2,2,35.7,22697.8,636.7
Cryptomonas platyuris,CRYPTOPHYTA,1/14/2014,657,2,1,17.8,36137.2,2027.9
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/14/2014,657,2,56,998.2,52264.6,52.4
Unknown Cryptophyte,CRYPTOPHYTA,1/14/2014,657,2,18,320.8,9071.6,28.3
Unknown Cryptophyte,CRYPTOPHYTA,1/14/2014,657,2,1,17.8,4367.8,245.1
Gymnodinium sp.,DINOPHYCEAE,1/14/2014,657,2,1,17.8,74122.3,4159.5
Eutreptiella spp.,EUGLENOPHYTA,1/14/2014,657,2,1,17.8,2915.4,163.6
Unknown Haptophyte,HAPTOPHYTA,1/14/2014,657,2,5,89.1,23892.4,268.1
Actinoptychus senarius,BACILLARIOPHYTA,1/24/2014,18,2,1,21.4,16463.3,769.7
Ceratoneis closterium,BACILLARIOPHYTA,1/24/2014,18,2,4,85.6,33795.5,395
Cocconeis placentula,BACILLARIOPHYTA,1/24/2014,18,2,1,21.4,6450.9,301.6
Cyclotella striata,BACILLARIOPHYTA,1/24/2014,18,2,3,64.2,59268,923.6
Ditylum brightwellii,BACILLARIOPHYTA,1/24/2014,18,2,5,107,8809082.4,82366.4
Nitzschia sigma,BACILLARIOPHYTA,1/24/2014,18,2,1,3.6,9097.9,2506.3
Paralia sulcata,BACILLARIOPHYTA,1/24/2014,18,2,1,21.4,26341.3,1231.5
Pseudo-nitzschia australis,BACILLARIOPHYTA,1/24/2014,18,2,1,21.4,16170.5,756
Skeletonema costatum,BACILLARIOPHYTA,1/24/2014,18,2,17,3.4,480.7,141.4
Thalassionema nitzschioides,BACILLARIOPHYTA,1/24/2014,18,2,3,64.2,24255.8,378
Thalassiosira eccentrica,BACILLARIOPHYTA,1/24/2014,18,2,1,3.6,34943,9626.2
Thalassiosira spp.,BACILLARIOPHYTA,1/24/2014,18,2,99,2117.6,831566.3,392.7
Thalassiosira visurgis,BACILLARIOPHYTA,1/24/2014,18,2,1,21.4,29130,1361.9
Unknown Diatom,BACILLARIOPHYTA,1/24/2014,18,2,1,21.4,20159.2,942.5
Unknown Diatom,BACILLARIOPHYTA,1/24/2014,18,2,1,0.2,250.5,1252.7
Chlamydomonas spp.,CHLOROPHYTA,1/24/2014,18,2,2,42.8,11468.3,268.1
Chlorella sp.,CHLOROPHYTA,1/24/2014,18,2,1,21.4,1399.9,65.4
Unknown Chlorophyte,CHLOROPHYTA,1/24/2014,18,2,268,5732.4,24011.8,4.2
Unknown Chlorophyte,CHLOROPHYTA,1/24/2014,18,2,1,21.4,1612.7,75.4
Chromulina spp.,CHRYSOPHYCEAE,1/24/2014,18,2,1,21.4,5734.2,268.1
Dictyocha speculum,CHRYSOPHYCEAE,1/24/2014,18,2,1,0.2,723.8,3619.2
Hemiselmis sp.,CRYPTOPHYTA,1/24/2014,18,2,3,64.2,6719.7,104.7
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/24/2014,18,2,3,64.2,6652.5,103.7
Rhodomonas sp.,CRYPTOPHYTA,1/24/2014,18,2,1,21.4,2217.5,103.7
Unknown Cryptophyte,CRYPTOPHYTA,1/24/2014,18,2,2,42.8,2239.9,52.4
Unknown Cryptophyte,CRYPTOPHYTA,1/24/2014,18,2,3,64.2,15959.4,248.7
Protoperidinium sp.,DINOPHYCEAE,1/24/2014,18,2,1,3.6,322034.2,88714.7
Eutreptiella spp.,EUGLENOPHYTA,1/24/2014,18,2,1,21.4,7559.7,353.4
Actinoptychus senarius,BACILLARIOPHYTA,1/24/2014,36,2,1,35.7,50398,1413.7
Guinardia sp.,BACILLARIOPHYTA,1/24/2014,36,2,2,71.3,8399.7,117.8
Skeletonema sp.,BACILLARIOPHYTA,1/24/2014,36,2,5,178.3,10499.6,58.9
Staurosira venter,BACILLARIOPHYTA,1/24/2014,36,2,1,35.7,4199.8,117.8
Thalassionema nitzschioides,BACILLARIOPHYTA,1/24/2014,36,2,2,71.3,51335,720
Thalassiosira spp.,BACILLARIOPHYTA,1/24/2014,36,2,49,1746.8,1391151.6,796.4
Thalassiosira visurgis,BACILLARIOPHYTA,1/24/2014,36,2,1,35.7,43006.3,1206.3
Chlorella salina,CHLOROPHYTA,1/24/2014,36,2,114,4064,265989.2,65.4
Pseudoscourfieldia marina,CHLOROPHYTA,1/24/2014,36,2,5,178.3,1866.6,10.5
Unknown Chlorophyte,CHLOROPHYTA,1/24/2014,36,2,222,7914.1,111883.5,14.1
Unknown Chlorophyte,CHLOROPHYTA,1/24/2014,36,2,8,285.2,8063.7,28.3
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/24/2014,36,2,4,142.6,14783.4,103.7
Unknown Cryptophyte,CRYPTOPHYTA,1/24/2014,36,2,3,107,10751.6,100.5
Gymnodinium sp.,DINOPHYCEAE,1/24/2014,36,2,1,3.6,104362.9,28750.1
Unknown Dinoflagellate,DINOPHYCEAE,1/24/2014,36,2,3,107,72797.1,680.7
Unknown Dinoflagellate,DINOPHYCEAE,1/24/2014,36,2,4,142.6,182776.6,1281.7
Eutreptiella spp.,EUGLENOPHYTA,1/24/2014,36,2,7,249.6,73497,294.5
Actinoptychus senarius,BACILLARIOPHYTA,1/31/2014,36,2,2,71.3,279988.6,3926.9
Amphora sp.,BACILLARIOPHYTA,1/31/2014,36,2,1,35.7,1140.9,32
Ceratoneis closterium,BACILLARIOPHYTA,1/31/2014,36,2,1,3.6,5556.8,1530.8
Cocconeis sp.,BACILLARIOPHYTA,1/31/2014,36,2,1,35.7,58237.6,1633.6
Cyclotella sp.,BACILLARIOPHYTA,1/31/2014,36,2,1,35.7,28670.8,804.2
Diploneis sp.,BACILLARIOPHYTA,1/31/2014,36,2,2,71.3,54597.8,765.7
Nitzschia clausii,BACILLARIOPHYTA,1/31/2014,36,2,1,0.2,421.2,2106
Nitzschia incerta,BACILLARIOPHYTA,1/31/2014,36,2,1,3.6,7518,2071.1
Nitzschia sigma,BACILLARIOPHYTA,1/31/2014,36,2,1,35.7,278349.7,7807.8
Paralia sulcata,BACILLARIOPHYTA,1/31/2014,36,2,1,35.7,20327.2,570.2
Parlibellus cruciculus,BACILLARIOPHYTA,1/31/2014,36,2,1,0.2,563.6,2818.1
Pleurosigma sp.,BACILLARIOPHYTA,1/31/2014,36,2,1,35.7,71833.3,2015
Thalassionema nitzschioides,BACILLARIOPHYTA,1/31/2014,36,2,3,107,34223.3,320
Thalassiosira spp.,BACILLARIOPHYTA,1/31/2014,36,2,24,855.6,21503.1,25.1
Thalassiosira visurgis,BACILLARIOPHYTA,1/31/2014,36,2,1,35.7,16939.3,475.2
Unknown Diatom,BACILLARIOPHYTA,1/31/2014,36,2,5,178.3,93579.4,525
Chlamydomonas spp.,CHLOROPHYTA,1/31/2014,36,2,2,71.3,4666.5,65.4
Chlorella salina,CHLOROPHYTA,1/31/2014,36,2,73,2602.4,36790.5,14.1
Tetraselmis sp.,CHLOROPHYTA,1/31/2014,36,2,2,71.3,10751.6,150.8
Unknown Chlorophyte,CHLOROPHYTA,1/31/2014,36,2,176,6274.3,88700.4,14.1
Unknown Chlorophyte,CHLOROPHYTA,1/31/2014,36,2,7,249.6,7055.7,28.3
Chromulina spp.,CHRYSOPHYCEAE,1/31/2014,36,2,2,71.3,8063.7,113.1
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/31/2014,36,2,34,1212.1,125658.9,103.7
Unknown Cryptophyte,CRYPTOPHYTA,1/31/2014,36,2,7,249.6,35931.9,144
Planktothrix sp.,CYANOPHYCEAE,1/31/2014,36,2,36,130.8,2772.6,21.2
Unknown Dinoflagellate,DINOPHYCEAE,1/31/2014,36,2,7,249.6,597906.4,2395.9
Eutreptiella gymnastica,EUGLENOPHYTA,1/31/2014,36,2,41,1461.6,909179.1,622
Eutreptiella spp.,EUGLENOPHYTA,1/31/2014,36,2,19,677.3,279288.7,412.3
Cocconeis sp.,BACILLARIOPHYTA,2/11/2014,36,2,1,0.2,99,494.8
Cyclotella sp.,BACILLARIOPHYTA,2/11/2014,36,2,3,32.1,1889.9,58.9
Cyclotella striata,BACILLARIOPHYTA,2/11/2014,36,2,2,7.3,22089.6,3041.1
Entomoneis sp.,BACILLARIOPHYTA,2/11/2014,36,2,4,42.8,91724.3,2144.1
Eunotia sp.,BACILLARIOPHYTA,2/11/2014,36,2,1,10.7,4409.8,412.3
Gyrosigma macrum,BACILLARIOPHYTA,2/11/2014,36,2,1,10.7,20854.8,1950
Hydrosera sp.,BACILLARIOPHYTA,2/11/2014,36,2,1,0.2,1512,7560
Nitzschia spp.,BACILLARIOPHYTA,2/11/2014,36,2,10,106.9,6737.7,63
Pantocsekiella ocellata,BACILLARIOPHYTA,2/11/2014,36,2,2,21.4,12196.3,570.2
Paralia sulcata,BACILLARIOPHYTA,2/11/2014,36,2,5,18.2,10354.5,570.2
Skeletonema costatum,BACILLARIOPHYTA,2/11/2014,36,2,139,1486.6,175132.9,117.8
Thalassiosira visurgis,BACILLARIOPHYTA,2/11/2014,36,2,2,21.4,10163.6,475.2
Ulnaria ulna,BACILLARIOPHYTA,2/11/2014,36,2,4,42.8,43846.2,1024.9
Unknown Diatom,BACILLARIOPHYTA,2/11/2014,36,2,108,1155,97973.6,84.8
Unknown Diatom,BACILLARIOPHYTA,2/11/2014,36,2,1,10.7,24392.6,2281.8
Chlamydomonas spp.,CHLOROPHYTA,2/11/2014,36,2,1,10.7,1209.6,113.1
Chlorella sp.,CHLOROPHYTA,2/11/2014,36,2,38,406.4,5745.4,14.1
Unknown Chlorophyte,CHLOROPHYTA,2/11/2014,36,2,16,171.1,716.8,4.2
Chroomonas sp.,CRYPTOPHYTA,2/11/2014,36,2,2,21.4,1120,52.4
Plagioselmis nannoplanctica,CRYPTOPHYTA,2/11/2014,36,2,1,10.7,907.2,84.8
Unknown Cryptophyte,CRYPTOPHYTA,2/11/2014,36,2,3,32.1,6652.5,207.4
Unknown Dinoflagellate,DINOPHYCEAE,2/11/2014,36,2,4,42.8,52996.3,1238.8
Eutreptiella spp.,EUGLENOPHYTA,2/11/2014,36,2,83,887.7,348585.9,392.7
Trachelomonas sp.,EUGLENOPHYTA,2/11/2014,36,2,1,10.7,5599.8,523.6
Achnanthidium sp.,BACILLARIOPHYTA,2/11/2014,657,2,4,38.9,2565.7,66
Amphora holsatica,BACILLARIOPHYTA,2/11/2014,657,2,2,19.4,6806.3,350
Aulacoseira lirata,BACILLARIOPHYTA,2/11/2014,657,2,2,19.4,20647.9,1061.9
Aulacoseira pusilla,BACILLARIOPHYTA,2/11/2014,657,2,14,50.8,7188.3,141.4
Aulacoseira sp.,BACILLARIOPHYTA,2/11/2014,657,2,10,97.2,312772.8,3217
Bacillaria paxillifera,BACILLARIOPHYTA,2/11/2014,657,2,4,38.9,91002.9,2340
Cocconeis placentula,BACILLARIOPHYTA,2/11/2014,657,2,17,165.3,163564.3,989.6
Cyclotella meneghiniana,BACILLARIOPHYTA,2/11/2014,657,2,2,19.4,15485.9,796.4
Cyclotella sp.,BACILLARIOPHYTA,2/11/2014,657,2,71,690.3,524810.7,760.3
Cyclotella striata,BACILLARIOPHYTA,2/11/2014,657,2,3,29.2,26940,923.6
Cymbella sp.,BACILLARIOPHYTA,2/11/2014,657,2,1,3.6,2956.9,814.6
Diatoma mesodon,BACILLARIOPHYTA,2/11/2014,657,2,2,19.4,3023.9,155.5
Diatoma moniliformis,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,2863.5,294.5
Diatoma vulgaris,BACILLARIOPHYTA,2/11/2014,657,2,3,29.2,43983.7,1508
Diploneis sp.,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,8796.7,904.8
Encyonema minutum,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,1225.3,126
Encyonema silesiacum,BACILLARIOPHYTA,2/11/2014,657,2,2,19.4,5186.4,266.7
Epithemia sp.,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,7779.6,800.2
Fragilaria brevistriata,BACILLARIOPHYTA,2/11/2014,657,2,55,534.7,235190.5,439.8
Geissleria decussis,BACILLARIOPHYTA,2/11/2014,657,2,2,19.4,8063.7,414.7
Gomphoneis eriense,BACILLARIOPHYTA,2/11/2014,657,2,1,0.2,911.7,4558.3
Gomphoneis eriense var. variabilis,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,6328.6,650.9
Gomphonema parvulum,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,1638.2,168.5
Gyrosigma acuminatum,BACILLARIOPHYTA,2/11/2014,657,2,1,0.2,747.6,3738
Hantzschia sp.,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,21778.5,2240
Hippodonta sp.,BACILLARIOPHYTA,2/11/2014,657,2,2,19.4,7254.3,373.1
Melosira varians,BACILLARIOPHYTA,2/11/2014,657,2,17,165.3,915959.9,5541.8
Navicula cryptotenella,BACILLARIOPHYTA,2/11/2014,657,2,4,38.9,8705.1,223.8
Navicula gregaria,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,6185.2,636.2
Navicula spp.,BACILLARIOPHYTA,2/11/2014,657,2,8,77.8,59866.7,769.7
Navicula tripunctata,BACILLARIOPHYTA,2/11/2014,657,2,5,48.6,70251.7,1445.1
Nitzschia dissipata,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,845.9,87
Nitzschia fonticola,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,1531.3,157.5
Nitzschia inconspicua,BACILLARIOPHYTA,2/11/2014,657,2,4,38.9,1088.9,28
Nitzschia linearis,BACILLARIOPHYTA,2/11/2014,657,2,2,19.4,95611.4,4917
Nitzschia sigma,BACILLARIOPHYTA,2/11/2014,657,2,1,3.6,8789.2,2420
Nitzschia spp.,BACILLARIOPHYTA,2/11/2014,657,2,41,398.6,22721.6,57
Pantocsekiella ocellata,BACILLARIOPHYTA,2/11/2014,657,2,25,243.1,224500,923.6
Pinnularia sp.,BACILLARIOPHYTA,2/11/2014,657,2,1,3.6,17614.1,4849.8
Planothidium sp.,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,1489,153.2
Psammodictyon constrictum,BACILLARIOPHYTA,2/11/2014,657,2,2,19.4,17410.2,895.4
Pseudostaurosira sp.,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,206.2,21.2
Rhoicosphenia abbreviata,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,2907.2,299
Rhopalodia gibba,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,7681.4,790.1
Seminavis sp.,BACILLARIOPHYTA,2/11/2014,657,2,2,19.5,5250.6,270
Staurosira venter,BACILLARIOPHYTA,2/11/2014,657,2,3,29.2,2863.5,98.2
Surirella angusta,BACILLARIOPHYTA,2/11/2014,657,2,1,0.2,397.4,1987.1
Surirella sp.,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,27718.9,2851.7
Tryblionella calida,BACILLARIOPHYTA,2/11/2014,657,2,3,29.2,51657.9,1771.1
Tryblionella compressa,BACILLARIOPHYTA,2/11/2014,657,2,1,9.7,5543.8,570.2
Ulnaria ulna,BACILLARIOPHYTA,2/11/2014,657,2,95,923.6,2459191.1,2662.5
Unknown Diatom,BACILLARIOPHYTA,2/11/2014,657,2,33,320.8,80636.7,251.3
Chlamydomonas globosa,CHLOROPHYTA,2/11/2014,657,2,3,29.2,1909,65.4
Chlorella sp.,CHLOROPHYTA,2/11/2014,657,2,33,320.8,4535.8,14.1
Unknown Chlorophyte,CHLOROPHYTA,2/11/2014,657,2,20,194.5,814.5,4.2
Mougeotia sp.,CHRYSOPHYCEAE,2/11/2014,657,2,2,19.4,1293547.5,66523.2
Cryptomonas curvata,CRYPTOPHYTA,2/11/2014,657,2,1,9.7,4739.4,487.5
Cryptomonas ovata,CRYPTOPHYTA,2/11/2014,657,2,4,38.9,10262.9,263.9
Hillea fusiformis,CRYPTOPHYTA,2/11/2014,657,2,2,19.4,2280.6,117.3
Plagioselmis nannoplanctica,CRYPTOPHYTA,2/11/2014,657,2,46,447.2,46366.1,103.7
Actinoptychus senarius,BACILLARIOPHYTA,3/11/2014,6,2,1,3.6,4946.2,1361.9
Asterionella formosa,BACILLARIOPHYTA,3/11/2014,6,2,1,4.6,3184.3,684.8
Aulacoseira sp.,BACILLARIOPHYTA,3/11/2014,6,2,6,27.9,12621.4,452.4
Bacillaria paxillifera,BACILLARIOPHYTA,3/11/2014,6,2,2,9.3,22040.6,2370
Cocconeis placentula,BACILLARIOPHYTA,3/11/2014,6,2,6,27.9,26294.6,942.5
Cyclotella striata,BACILLARIOPHYTA,3/11/2014,6,2,9,41.8,23862.3,570.2
Diploneis elliptica,BACILLARIOPHYTA,3/11/2014,6,2,1,3.6,10482.9,2886.3
Diploneis sp.,BACILLARIOPHYTA,3/11/2014,6,2,6,27.9,15776.8,565.5
Entomoneis sp.,BACILLARIOPHYTA,3/11/2014,6,2,93,432.4,5059253.5,11699.3
Epithemia sp.,BACILLARIOPHYTA,3/11/2014,6,2,3,10.9,4794.5,440
Eunotia sp.,BACILLARIOPHYTA,3/11/2014,6,2,2,9.3,1270.9,136.7
Fragilariopsis sp.,BACILLARIOPHYTA,3/11/2014,6,2,2,9.3,1424.3,153.2
Gomphonema sp.,BACILLARIOPHYTA,3/11/2014,6,2,4,18.6,3434.6,184.7
Gyrosigma sp.,BACILLARIOPHYTA,3/11/2014,6,2,1,3.6,9806.1,2700
Navicula cryptotenella,BACILLARIOPHYTA,3/11/2014,6,2,1,4.6,876.5,188.5
Nitzschia frustulum,BACILLARIOPHYTA,3/11/2014,6,2,1,4.6,418.5,90
Nitzschia inconspicua,BACILLARIOPHYTA,3/11/2014,6,2,1,3.6,163.4,45
Nitzschia spp.,BACILLARIOPHYTA,3/11/2014,6,2,10,46.5,3347.9,72
Thalassionema sp.,BACILLARIOPHYTA,3/11/2014,6,2,7,32.5,4687.1,144
Thalassiosira eccentrica,BACILLARIOPHYTA,3/11/2014,6,2,3,13.9,762860.7,54686.4
Thalassiosira spp.,BACILLARIOPHYTA,3/11/2014,6,2,75,348.7,29581.4,84.8
Thalassiosira visurgis,BACILLARIOPHYTA,3/11/2014,6,2,6,27.9,15908.2,570.2
Tryblionella debilis,BACILLARIOPHYTA,3/11/2014,6,2,1,4.6,1665.3,358.1
Ulnaria ulna,BACILLARIOPHYTA,3/11/2014,6,2,22,102.3,248264.7,2426.9
Unknown Diatom,BACILLARIOPHYTA,3/11/2014,6,2,8,37.2,5609.5,150.8
Chlamydomonas reinhardtii,CHLOROPHYTA,3/11/2014,6,2,1,4.6,876.5,188.5
Coenochloris sp.,CHLOROPHYTA,3/11/2014,6,2,7,32.5,136.3,4.2
Tetradesmus bernardii,CHLOROPHYTA,3/11/2014,6,2,4,14.5,2662.3,183.3
Unknown Chlorophyte,CHLOROPHYTA,3/11/2014,6,2,4,18.6,4986.2,268.1
Mallomonas sp.,CHRYSOPHYCEAE,3/11/2014,6,2,4,18.6,3856.5,207.3
Cryptomonas ovata,CRYPTOPHYTA,3/11/2014,6,2,4,18.6,12465.6,670.2
Komma caudata,CRYPTOPHYTA,3/11/2014,6,2,6,27.9,3936.9,141.1
Plagioselmis nannoplanctica,CRYPTOPHYTA,3/11/2014,6,2,10,46.5,10128.3,217.8
Unknown Cryptophyte,CRYPTOPHYTA,3/11/2014,6,2,28,130.2,6817.1,52.4
Unknown Cryptophyte,CRYPTOPHYTA,3/11/2014,6,2,146,678.9,568742.1,837.8
Actinocyclus sp.,BACILLARIOPHYTA,3/11/2014,12,2,1,3.6,8238,2269.4
Aulacoseira sp.,BACILLARIOPHYTA,3/11/2014,12,2,6,42.8,53757.8,1256.6
Cyclotella striata,BACILLARIOPHYTA,3/11/2014,12,2,6,42.8,293988.1,6872.2
Fragilaria brevistriata,BACILLARIOPHYTA,3/11/2014,12,2,1,3.6,470.7,129.6
Fragilaria construens,BACILLARIOPHYTA,3/11/2014,12,2,2,14.3,2183.9,153.2
Nitzschia spp.,BACILLARIOPHYTA,3/11/2014,12,2,4,28.5,1197.8,42
Thalassionema sp.,BACILLARIOPHYTA,3/11/2014,12,2,10,71.3,18395,258
Thalassiosira spp.,BACILLARIOPHYTA,3/11/2014,12,2,15,106.9,16127.3,150.8
Tryblionella sp.,BACILLARIOPHYTA,3/11/2014,12,2,1,7.1,27517.3,3859.4
Ulnaria ulna,BACILLARIOPHYTA,3/11/2014,12,2,2,14.3,37630.5,2638.9
Ankistrodesmus falcatus,CHLOROPHYTA,3/11/2014,12,2,2,7.3,867.2,119.4
Chlamydomonas globosa,CHLOROPHYTA,3/11/2014,12,2,6,42.8,11468.3,268.1
Chlamydomonas grovei,CHLOROPHYTA,3/11/2014,12,2,16,114.1,1612.7,14.1
Chlorella minutissima,CHLOROPHYTA,3/11/2014,12,2,51,363.6,5140.6,14.1
Coelastrum microporum,CHLOROPHYTA,3/11/2014,12,2,60,427.8,1791.9,4.2
Coenochloris sp.,CHLOROPHYTA,3/11/2014,12,2,5,35.6,149.3,4.2
Monoraphidium tortile,CHLOROPHYTA,3/11/2014,12,2,4,28.5,1911.4,67
Unknown Chlorophyte,CHLOROPHYTA,3/11/2014,12,2,8,57,36316.4,636.7
Mallomonas sp.,CHRYSOPHYCEAE,3/11/2014,12,2,1,7.1,1343.9,188.5
Komma caudata,CRYPTOPHYTA,3/11/2014,12,2,6,42.8,21682.3,506.8
Unknown Cryptophyte,CRYPTOPHYTA,3/11/2014,12,2,192,1368.9,335448.8,245
Peridinium sp.,DINOPHYCEAE,3/11/2014,12,2,2,14.3,86729.3,6082.1
Unknown Euglenophyte,EUGLENOPHYTA,3/11/2014,12,2,2,7.3,5990.2,825.1
